[2023-09-14 22:36:03,437] INFO _log() L224   * Restarting with stat - call_trace=C:\Users\moacy\AppData\Local\Programs\Python\Python311\Lib\site-packages\werkzeug\_internal.py L224 
[2023-09-14 22:36:11,810] WARNING _log() L224   * Debugger is active! - call_trace=C:\Users\moacy\AppData\Local\Programs\Python\Python311\Lib\site-packages\werkzeug\_internal.py L224 
[2023-09-14 22:36:11,825] INFO _log() L224   * Debugger PIN: 118-637-333 - call_trace=C:\Users\moacy\AppData\Local\Programs\Python\Python311\Lib\site-packages\werkzeug\_internal.py L224 
[2023-09-14 22:38:36,320] WARNING link() L148  Msg[1] Dados para registro: Lnk: https://images.metmuseum.org/CRDImages/as/original/DP251139.jpg, Obr: Quail and Millet, Art: Kiyohara Yukinobu - call_trace=c:\env\smuseum\smuseum.py L148 
[2023-09-14 22:38:36,336] DEBUG link() L165  {"link":"https:\/\/images.metmuseum.org\/CRDImages\/as\/original\/DP251139.jpg","obra":"Quail and Millet","artista":"Kiyohara Yukinobu","total_obras":4,"qtde_msmnome":1,"museu":"MET"} - call_trace=c:\env\smuseum\smuseum.py L165 
[2023-09-14 22:38:36,383] INFO _log() L224  127.0.0.1 - - [14/Sep/2023 22:38:36] "GET /smuseum?obra=Quail%20and%20Millet&artista=Kiyohara%20Yukinobu HTTP/1.1" 200 - - call_trace=C:\Users\moacy\AppData\Local\Programs\Python\Python311\Lib\site-packages\werkzeug\_internal.py L224 
[2023-09-14 22:40:46,750] WARNING link() L148  Msg[1] Dados para registro: Lnk: https://images.metmuseum.org/CRDImages/dp/original/DP885496.jpg, Obr: Mona Lisa, Art: Leonardo da Vinci - call_trace=c:\env\smuseum\smuseum.py L148 
[2023-09-14 22:40:46,757] DEBUG link() L165  {"link":"https:\/\/images.metmuseum.org\/CRDImages\/dp\/original\/DP885496.jpg","obra":"Mona Lisa","artista":"Leonardo da Vinci","total_obras":138,"qtde_msmnome":1,"museu":"MET"} - call_trace=c:\env\smuseum\smuseum.py L165 
[2023-09-14 22:40:46,766] INFO _log() L224  127.0.0.1 - - [14/Sep/2023 22:40:46] "GET /smuseum?obra=Mona%20Lisa&artista=Leonardo%20da%20Vinci HTTP/1.1" 200 - - call_trace=C:\Users\moacy\AppData\Local\Programs\Python\Python311\Lib\site-packages\werkzeug\_internal.py L224 
[2023-09-14 22:43:26,837] WARNING link() L148  Msg[1] Dados para registro: Lnk: https://images.metmuseum.org/CRDImages/ep/original/DP229743.jpg, Obr: Sunflowers, Art: Vincent van Gogh - call_trace=c:\env\smuseum\smuseum.py L148 
[2023-09-14 22:43:26,853] DEBUG link() L165  {"link":"https:\/\/images.metmuseum.org\/CRDImages\/ep\/original\/DP229743.jpg","obra":"Sunflowers","artista":"Vincent van Gogh","total_obras":44,"qtde_msmnome":1,"museu":"MET"} - call_trace=c:\env\smuseum\smuseum.py L165 
